OrderID,EcommerceId,ProductId,Quantity,OrderDate,Price,PaymentMethod,Status,ShippedDate,ShippingCountry,ShippingCity
ORD-2026-000001,ECOM-CUST-000259,CC-NOVA-002,1,2025-04-01T14:12:43Z,259.00,cheque,delivered,2025-04-06T14:12:43Z,France,Lille
ORD-2026-000002,ECOM-CUST-000099,CC-CHROMA-005,27,2025-04-02T11:33:53Z,510.40,card,canceled,,Germany,Stuttgart
ORD-2026-002118,ECOM-CUST-000573,CC-NOVA-001,2,2025-04-02T13:56:35Z,478.00,card,delivered,2025-04-15T13:56:35Z,Germany,Leipzig
ORD-2026-000003,ECOM-CUST-000180,CC-LUMA-004,6,2025-04-02T20:37:48Z,114.00,cheque,delivered,2025-04-17T20:37:48Z,Germany,Berlin
ORD-2026-000004,ECOM-CUST-000255,CC-LUMA-003,6,2025-04-02T21:31:34Z,174.00,card,delivered,2025-04-18T21:31:34Z,Netherlands,The Hague
ORD-2026-002083,ECOM-CUST-000552,CC-CHROMA-005,2,2025-04-03T02:57:15Z,42.00,cash,delivered,2025-04-23T02:57:15Z,Germany,Dusseldorf
ORD-2026-000005,ECOM-CUST-000115,CC-LUMA-007,4,2025-04-03T03:15:19Z,104.00,card,delivered,2025-04-15T03:15:19Z,United Kingdom,London
ORD-2026-000006,ECOM-CUST-000292,CC-AURA-001,3,2025-04-03T06:22:09Z,597.00,card,delivered,2025-04-18T06:22:09Z,Germany,Dusseldorf
ORD-2026-000007,ECOM-CUST-000183,CC-CHROMA-002,3,2025-04-03T11:35:07Z,1047.00,card,delivered,2025-04-11T11:35:07Z,Austria,Linz
ORD-2026-000008,ECOM-CUST-000423,CC-NOVA-001,3,2025-04-03T12:57:03Z,717.00,card,delivered,2025-04-13T12:57:03Z,Germany,Dusseldorf
ORD-2026-000009,ECOM-CUST-000002,CC-NOVA-001,3,2025-04-03T13:14:18Z,717.00,cash,delivered,2025-04-18T13:14:18Z,United Kingdom,Birmingham
ORD-2026-000010,ECOM-CUST-000064,CC-CHROMA-005,1,2025-04-03T14:01:09Z,21.00,card,delivered,2025-04-14T14:01:09Z,United Kingdom,Leeds
ORD-2026-000011,ECOM-CUST-000215,CC-NOVA-006,6,2025-04-03T14:44:17Z,534.00,cash,delivered,2025-04-12T14:44:17Z,Germany,Munich
ORD-2026-000012,ECOM-CUST-000127,CC-AURA-002,6,2025-04-03T16:23:08Z,474.00,cash,delivered,2025-04-06T16:23:08Z,Austria,Salzburg
ORD-2026-000013,ECOM-CUST-000251,CC-LUMA-004,5,2025-04-03T19:06:06Z,95.00,card,delivered,2025-04-15T19:06:06Z,Germany,Stuttgart
